Agency,Data Source,Data Description,Scale Level,Website,Variable Indicator Examples (but not limited to) ,Timeframe (Can Vary Based on DataSet),Frequency of Updates
Agency for Healthcare Research and Quality (AHRQ),AHRQ Social Determinants of Health Database,"The purpose of this project is to create easy to use, easily linkable SDOH-focused data to use in PCOR research, inform approaches to address emerging health issues, and ultimately contribute to improved health outcomes. These SDOH beta data files are curated from existing Federal datasets and other publicly available data sources. The purpose of the files is to make it easier to find a range of well documented, readily linkable SDOH variables across domains without having to access multiple source files, facilitating SDOH research and analysis.",Census Tracts,https://www.ahrq.gov/sdoh/data-analytics/sdoh-data.html,"Demographics � population distribution, age, Race/ethnicity, Social Vulnerability Index, Segregation, Living Conditions, Workforce / Employment, Poverty, Income, Education, Health Insurance Status, Health care system characteristics, Health status- mortality, Population density",2009-2018,datasets cover 10-year periods
Agency for Healthcare Research and Quality (AHRQ),Healthcare Cost and Utilization Project (HCUP),"The Healthcare Cost and Utilization Project (HCUP, pronounced ""H-Cup"") is a family of databases, software tools and related products developed through a Federal-State-Industry partnership and sponsored by AHRQ. HCUP databases are derived from administrative data and contain encounter-level, clinical and nonclinical information including all-listed diagnoses and procedures, discharge status, patient demographics, and charges for all patients, regardless of payer (e.g., Medicare, Medicaid, private insurance, uninsured), beginning in 1988. These databases enable research on a broad range of health policy issues, including cost and quality of health services, medical practice patterns, access to health care programs, and outcomes of treatments at the national, State, and local market levels.

The HCUP databases are based on the data collection efforts of data organizations in participating States that have partnered with AHRQ.",N/A,https://www.ahrq.gov/data/hcup/index.html,"Adult and pediatric ICD-10-CM/PCS diagnosis, procedure, and external cause of morbidity codes, patient characteristics",1988-2019,"1 - 3 years, varies by data set"
Centers for Disease Control and Prevention (CDC),National Syndromic Surveillance System (NSSP) Biosense/ESSENCE,"Electronic health surveillance data integration platform. Patient encounter data received from ED, urgent and abulatory care centers, inpatient healthcare settings, and labs. Secure data system- must request access as data is not publicly available.",N/A,https://www.cdc.gov/nssp/overview.html https://amc.syndromicsurveillance.org/NSSP_AdminTool/login,"Chief Complaint, Diagnosis Discharge, EMR data from disaster medical assistance team (DMAT) operation sites",,within 24 hours of patient visit
Centers for Disease Control and Prevention (CDC),WONDER,"The Centers for Disease Control and Prevention Wide-ranging Online Data for Epidemiologic Research (CDC WONDER) is a web-based resource that provides state and county level vital statistic data for births, deaths, and infant mortality. ",County,https://wonder.cdc.gov/,"Infant birth weight, pregnancy characteristics, mortality, cancer ",1995-2020,varies by dataset.
Centers for Disease Control and Prevention (CDC),National Center for Health Statistics (NCHS) Vital Records - National Vital Statistics System (NVSS),"Public use Birth, Period Linked Birth � Infant Death, Birth Cohort Linked Birth � Infant Death, Mortality Multiple Cause, and Fetal Death data files are available for independent research and analyses.",County,https://www.cdc.gov/nchs/nvss/index.htm,"Maternal Behavior and Health Characteristics, Infant Health Characteristics, Medical and Public Services Utilization ",1968 - 2020,annual
Centers for Disease Control and Prevention (CDC),Environmental Health Tracking,"Brings together health and environmental data from national, state, and city sources. Includes an interactive online data explorer (can generate maps, tables charts) as well as several downloadable datasets on drought, solar radiation, and air pollution. Examples of health data include asthma, birth defects, cancer, COPD, developmental, heart disease, heat stress, reproductive and birth outcomes, hormone disorders, etc.",County ,https://ephtracking.cdc.gov/showHome,"Asthma, cancer, chronic obstructive pulmonary disease (COPD), developmental disabilities, lifestyle factors, reproductive and birth outcomes",2000-2017,varies by dataset.
Centers for Disease Control and Prevention (CDC),Web-based Injury Statistics Query and Reporting System (WISQARS),"CDC�s WISQARS� is an interactive, online database that provides fatal and nonfatal injury, violent death, and cost of injury data. Researchers, the media, public health professionals, and the public can use WISQARS� data to learn more about the public health and economic burden associated with unintentional and violence-related injury in the United States.",National,https://www.cdc.gov/injury/wisqars/index.html,Injury fire/burn,2000-2020,annually ~10-11 months after the end of each calendar year
Centers for Disease Control and Prevention (CDC),U.S. Cancer Statistics Public Use Databases,"De-identified cancer incidence data reported to CDC�s National Program of Cancer Registries (NPCR) and the National Cancer Institute�s (NCI�s) Surveillance, Epidemiology, and End Results (SEER) Program are available to researchers for free in public use databases that can be analyzed using software developed by NCI�s SEER Program.

Cancer surveillance data from CDC and NCI are combined to become U.S. Cancer Statistics, the official source for federal cancer data. U.S. Cancer Statistics public use databases include cancer incidence and population data for all 50 states, the District of Columbia, and Puerto Rico, providing information on more than 33 million cancer cases.",Census Regions,https://www.cdc.gov/cancer/uscs/public-use/index.htm,"Cancer incidence (e.g., lung cancer, brain tumours, non-Hodgkin lymphoma, multiple myeloma, and leukaemia) using ICD-O codes, month of diagnosis",2005-2019,Released annually in June
Centers for Disease Control and Prevention (CDC),National Hospital Care Survey (NHCS),"NHCS collects data on patient care in hospital-based settings to describe patterns of health care delivery and utilization in the United States. Settings include inpatient, emergency (EDs), and outpatient departments (OPDs). The survey will provide hospital utilization statistics for the Nation. In addition, NHCS will also be able to monitor national trends in substance use-related ED visits including opioid visits. Researchers can link these survey data to outside data sources such as the National Death Index (NDI) to obtain a more complete picture of patient care.",N/A,https://www.cdc.gov/nchs/nhcs/index.htm,"Demographics, diagnoses (ICD-10 codes), procedures, laboratory tests, and medications",2013-2021,annually
Centers for Disease Control and Prevention (CDC),National Death Index (NDI),"Containing over 100 million death records, the National Death Index (NDI) can help you find out who in your study has died by linking your own research datasets to death certificate information for your study subjects.",State,https://www.cdc.gov/nchs/ndi/index.htm,ICD-10 Codes,1979-2021,annually (approx 11 months after end of calendar year)
Centers for Disease Control and Prevention (CDC),National Vital Statistics System Mortality Files on Drug overdose deaths (NVSS-M-DO),"The National Vital Statistics System collects and shares critical information on deaths from drug overdoses, such as what substances were used and where deaths are happening in America. Our systems receive and analyze data from death certificates, including cause-of-death information reported by medical examiners and coroners. Because drug overdose deaths often require lengthy investigations, data are updated as new information is received.

Information about which drugs were involved in a death comes from the literal text description of the cause of death, which is written on the death certificate by the medical certifier. The cause-of-death literal text is coded to ICD-10 codes for reporting or can be analyzed directly. Drug overdose deaths involving multiple drugs may be included in more than one category in our reporting",State,https://www.cdc.gov/nchs/nvss/drug-overdose-deaths.htm,"ICD-10 underlying cause of death, specific substances mentioned in report, non-specific substances mentioned in report",1999-2022,"varies by dataset - monthly, annually"
